Sr.N.,Hospital /Labs/ Clinics,Address ,Category ,NABH/NON-NABH,Applicable Rate,CGHS Status,NON-CGHS DISCOUNT
1,Jain Dental Clinic,"F-1/9, Mandir Marg, Near Happy English School, Block E, Krishna Nagar, Delhi-110051",Dental,NABH,DMRC current ceiling limit for 8 services & for rest dental services 15% discount,NON-CGHS,15
2,Jain Dental Clinic,"22 Radhey Shyam Park, Near Musical Park Parwana Road,Delhi-110051",Dental,NABH,DMRC current ceiling limit for 8 services & for rest dental services 15% discount,NON-CGHS,15
3,Dr. Sekhri Dental & Implant Clinic,"3, Sukh Vihar(Tikona Park) Near Gagan Vihar, Delhi-51",Dental,NON-NABH,CGHS rates for CGHS listed items & 10% discount on non-CGHS listed items',CGHS,10
4,The Healing Touch Dental Care,"1st floor, behind mother dairy, chetak complex, pocket B & E Market, Dilshad Garden, Delhi-110095",Dental,NABH,CGHS rates for CGHS listed items & 25 % discount on non CGHS listed items,CGHS,25
5,Smile 4 Sure Dental Clinic,"Shop No. 1 DDA Market Bank Enclave, delhi- 110092",Dental,NABH,CGHS rates for CGHS listed items & 10 % discount on non CGHS listed items,CGHS,10
6,Smirk Dental & implant centre,"G-80, first floor, Vijay Chowk, Laxmi Nagar,Delhi -110092",Dental,NABH,CGHS rates for CGHS listed items & 20 % discount on non CGHS listed items,CGHS,20
7,DR BUDHIRAJA'S ORO DENTAL CARE CLINIC,"52-A OPPOSITE MOTHER DAIRY PLANT , PANDAV NAGAR I.P.EXTENSION DELHI-110092",Dental,NON-NABH,CGHS Rates for CGHS listed items and Hospital Rates for Non-CGHS items,CGHS,0
8,Nayar Dental Care Centre Pvt. Ltd,"G-16, Preet Vihar, delhi-92",Dental,NON-NABH,"CGHS rates for CGHS listed items & 20 % discount on non CGHS listed items except drugs, consumables & Implants & other outsourced investigations or procedure",CGHS,20
9,ESTHETIC DENTAL CLINIC,"FG 1/2-B VIKASPURI, NEW DELHI-110018",Dental,NON-NABH,CGHS rates for CGHS listed items & Hospital rates for non CGHS listed items,CGHS,0
10,DELHI DENTAL HUB,"9,GF, STATE BANK NAGAR, PASCHIM VIHAR, OUTER RING ROAD, OPP. PILLAR NO-77, OP. MEERA BAGH RED LIGHT, ND-63",Dental,NON-NABH,CGHS rates for all CGHS listed dental items and 15% Discount on Hospital rates for non CGHS listed items,CGHS,15
11,DENTAL QUE,"55, WEST AVENUE RAOD, WEST PUNJABI BAGH, ND-26",Dental,NON-NABH,DMRC current ceiling limit for 8 services & for rest dental services Hospital rates.,NON-CGHS,0
12,Raahat Dental Clinic,"285, DDA Plots Pkt-1 Sec-23 Dwarka New Delhi-110075",Dental,NON-NABH,Hospital Rates,NON-CGHS,0
