hospital_id,hospital_name,empanelled_for,address,region,list_type,applicable_rate,contact_person
HOSP0001,Dharamshila Narayana Superspecialty Hospital,Multispeciality,"Vasundhara Enclave, Near Ashok Nagar Metro Station, Delhi-96",East Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for non-CGHS items","Prem Shankar, 9811644360"
HOSP0002,"Max Balaji Hospital (Max Super Speciality Hospital, Patparganj)",Multispeciality,"108 A, IP Extension, Opp. Sancha Appts, Patparganj, Delhi-92",East Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Praveen Chandel, 7018937075"
HOSP0003,East Delhi Medical Centre,Multispeciality,"1/550 G.T. Road, Mansarover Park, Shahdara, Delhi-32",East Delhi,Nominated,CGHS + 10% discount on non-CGHS (excl. Covid tests),"Vibhor Bedi, 9650811480"
HOSP0004,Advance Diagnostic Centre,Diagnostic Radiology (CT/X-Ray/USG/Doppler/OPG/Echo),"67 Hargobind Enclave, Karkardooma, Delhi-92",East Delhi,Nominated,"CGHS rates for listed radiology items, Hospital rates for rest","Abhishek Kalra, 9716560450"
HOSP0005,Dr Budhiraja's Oro Dental Care Clinic,Dental,"52-A Opp. Mother Dairy Plant, Pandav Nagar, IP Extn, Delhi-92",East Delhi,Nominated,CGHS rates for CGHS listed items,"Dr Bhupesh Budhiraja, 9810684487"
HOSP0006,Platinum Imaging Centre,Pathology/Radiology (NABH),"Dayanand Vihar, Delhi-92",East Delhi,Nominated,CGHS rates for MRI/CT/USG/X-Ray/Doppler/Bone Density/Echo/ECG,"Dr Suchit Aggarwal, 9891603919"
HOSP0007,Drishti Eye Care Centre,Ophthalmology,"Plot 4, 1st Floor, Anand Complex, Pandav Nagar, Patparganj, Delhi-92",East Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for rest","Dr Smriti Goel, 9810662272"
HOSP0008,M/s Life Line Diagnostics,Pathology Services,"C-4, Anand Vihar, New Delhi-92",East Delhi,Nominated,CGHS rates + 25% discount on non-CGHS items,"Dr R.K. Goel, 7827070929"
HOSP0009,M/s Dr. Goel's Eye Centre,Ophthalmology,"C-4, Anand Vihar, New Delhi-92",East Delhi,Nominated,CGHS rates + 25% discount on non-CGHS items,"Dr R.K. Goel, 7827070929"
HOSP0010,Esthetic Dental Clinic,Dental,"FG 1/2-B Vikaspuri, New Delhi-18",West Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for rest","Dr Ritu Bansal, 9910637309"
HOSP0011,Jaipur Golden Hospital,Multispeciality,"Institutional Area, Sec-3, Rohini, Delhi-85",West Delhi,Nominated,"CGHS rates (excl. outsourced services), Hospital rates for rest","Vanita Bhalla, 9899665251"
HOSP0012,Bhagwati Hospital,Multispeciality,"CS/OCF-6, Sec-13, Rohini, New Delhi-85",West Delhi,Nominated,CGHS rates for major specialities + 5% discount non-CGHS,"Dr Naresh Pamnani, 9811207171"
HOSP0013,Goyal Eye Institute,Ophthalmology,"1/10 East Patel Nagar, New Delhi-8",West Delhi,Nominated,Hospital rates with 10% discount,"Dr Pawan Goyal, 9810132464"
HOSP0014,Mata Chanan Devi Hospital,Multispeciality,"C-1, Janakpuri, New Delhi",West Delhi,Nominated,Hospital rates with 10% discount (excl. medicines/implants),"Dr Rama Mukherjee, 9810501990"
HOSP0015,Action Cancer Hospital,All Cancer Specialities (NABH),"H-2/FC-34, A-4, Paschim Vihar, Delhi-63",West Delhi,Nominated,"CGHS rates for cancer treatment, Hospital rates for rest","Vineet Arora, 9289522005"
HOSP0016,Shri Balaji Action Medical Institute,Multispeciality (NABH),"FC-34, A-4, Paschim Vihar, Delhi",West Delhi,Nominated,"CGHS rates for major specialities, Hospital rates for non-CGHS","Vineet Arora, 9289522005"
HOSP0017,Chopra Eye Hospital,Ophthalmology,"C-3/8, Sec-7, Rohini, Delhi",West Delhi,Nominated,CGHS rates + Hospital rates on rest items,"Dr Amit Chopra, 9811033053"
HOSP0018,Cygnus Sonia Hospital,Multispeciality,"1, Gulshan Park, Main Rohtak Road, Nangloi, Delhi-41",West Delhi,Nominated,CGHS rates (excl. MRI) + 10% discount on non-CGHS,"Dr Mahender Mittal, 9555560455"
HOSP0019,Delhi Dental Hub,Dental,"9 GF, State Bank Nagar, Paschim Vihar, Delhi-63",West Delhi,Nominated,CGHS rates + 10% discount on non-CGHS dental items,"Dr Rohit Malik, 9891373779"
HOSP0020,Dental Que,Dental,"55, West Avenue Road, West Punjabi Bagh, Delhi-26",West Delhi,Nominated,"DMRC prescribed rates for 9 treatments, rest Hospital rates","Dr Sumit Datta, 9810080636"
HOSP0021,Divya Prastha Hospital,Multispeciality,"RZ-37 Palam Colony Main Rd, Raj Nagar-1, Delhi-45",West Delhi,Nominated,CGHS rates for CGHS listed items,"Gyan Vats, 9810984960"
HOSP0022,Eye Sight Laser Centre,Ophthalmology,"52A Pocket 2, Sec-6, Dwarka, Delhi",West Delhi,Nominated,CGHS rates (excl. Lasik) + 10% discount on non-CGHS,"Dr Amit Bhatia, 9811105687"
HOSP0023,Fortis Hospital Shalimar Bagh,Multispeciality,"A-Block, Shalimar Bagh, New Delhi-88",West Delhi,Nominated,CGHS rates (excl. Ophthalmic/Dental) + 10% discount non-CGHS,"Neeraj Kumar Tiwari, 9811504185"
HOSP0024,Gandhi Hospital Healthcare Pvt Ltd,Multispeciality,"C-50&51, Om Vihar, Uttam Nagar, New Delhi-59",West Delhi,Nominated,CGHS rates for major specialities + 10% discount rest,"Dr Pawan Gandhi, 9312222922"
HOSP0025,Ganesh Diagnostic & Imaging Centre (Rohini),Radiology & Laboratory,"109 Pocket A-1, Sec-8, Rohini, Delhi-85",West Delhi,Nominated,CGHS rates,"Dr Ravin Sharma, 9810183948"
HOSP0026,Ganesh Diagnostic & Imaging Centre (Hari Nagar),Radiology & Laboratory,"C-1 Hari Nagar, Near DDU Hospital, New Delhi",West Delhi,Nominated,CGHS rates,"Dr Ravin Sharma, 9810183948"
HOSP0027,Ganesh Diagnostic & Imaging Centre (Derawal Nagar),Radiology & Laboratory,"B-3 Derawal Nagar, Opp Model Town, New Delhi",West Delhi,Nominated,CGHS rates,"Dr Ravin Sharma, 9810183948"
HOSP0028,Ganesh Diagnostic & Imaging Centre (Yamuna Vihar),Radiology & Laboratory,"C-1/8 Yamuna Vihar, Near C-Block, New Delhi",West Delhi,Nominated,CGHS rates,"Dr Ravin Sharma, 9810183948"
HOSP0029,Ganesh MRI Centre Pvt Ltd,Radiology & Laboratory,"K-Block, Opp Sanjay Gandhi Hospital, Mangol Puri, Delhi-83",West Delhi,Nominated,CGHS rates,"Dr Ravin Sharma, 9810183948"
HOSP0030,Kalra Hospital SRCNC,Multispeciality,"A-4,5&6 Tulsi Das Kalra Marg, Kirti Nagar",West Delhi,Nominated,CGHS rates,"Prem Satija, 9899131771"
HOSP0031,Raahat Dental Clinic,Dental,"285 DDA Plots, Sec-23, Dwarka, New Delhi-75",West Delhi,Nominated,Hospital Rates,"Dr Renu Bhargava, 9310557775"
HOSP0032,Saroj Super Speciality Hospital (Rohini),All Specialities,"Plot 2, Sec-14 Extn, Madhuban Chowk, Rohini, Delhi-85",West Delhi,Nominated,CGHS rates for major specialities + 15% discount rest,"Puneet Rai, 8448697359"
HOSP0033,Vikas Hospital Pvt Ltd,Multispeciality,"1629-H, Thana Road, Najafgarh, Delhi-43",West Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for rest","Sandeep Bhardwaj, 8744077888"
HOSP0034,Vision Eye Hospital,Ophthalmology,"F-24/136 Sec-7, Rohini, Delhi-85",West Delhi,Nominated,CGHS rates + 10% discount on rest,"Dr Vipul Nayar, 9873894847"
HOSP0035,Max Hospital Shalimar Bagh,Multispeciality,"50, C&D Block, Shalimar Bagh, New Delhi-88",West Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Urvashi Singhal, 9811574552"
HOSP0036,Venkateshwar Hospital,Multispeciality,"Sec-18A, Dwarka, New Delhi-75",West Delhi,Nominated,CGHS NABH rates for major specialities; 20% discount rest,"Mahendra Shukla, 9999246410"
HOSP0037,Rajiv Gandhi Cancer Institute & Research Centre,Oncology,"Sector-5, Rohini, Delhi",North/NW Delhi,Nominated,10% discount on IPD (excl. drugs/consumables/implants),"Manoj Chauhan, 9873722247"
HOSP0038,Saroj Medical Institute,Multispeciality,"Plot 8, Pocket 88, Sec-19, Jail Road, Rohini, Delhi-85",North/NW Delhi,Nominated,Hospital rates with 15% discount (excl. drugs/implants),"Jagatjit Kaur, 8303700700"
HOSP0039,Cygnus MLS Superspeciality Hospital,Multispeciality,"Plot 4, Kanjhawala Road, Rama Vihar, Delhi-81",North/NW Delhi,Nominated,CGHS rates for major specialities + 10% discount non-CGHS,"Ramesh Chand, 9773630282"
HOSP0040,Mahajan Eye Centre,Ophthalmology,"AD-21A, Pitampura, Delhi-34",North/NW Delhi,Nominated,CGHS rates + 10% discount on rest,"Dr Deepankur Mahajan, 9311111120"
HOSP0041,Nazar Kanwar Surana Hospital,Neurology/Spine/Ortho/Medicine/Gynae/ENT/Dialysis/Urology,"219,220 Gulabi Bagh, New Delhi-7",North/NW Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for rest","Dr D S Chhatwal, 8130894506"
HOSP0042,Panchsheel Hospital,Multispeciality,"C-3-63-A,64-A Yamuna Vihar, Delhi-53",North/NW Delhi,Nominated,CGHS rates + 10% discount non-CGHS (also empanelled for Lal PathLabs),"Dr V.K. Goyal, 9810106800"
HOSP0043,Santom Hospital,Multispeciality,"D-5/6 Prashant Vihar, Delhi-85",North/NW Delhi,Nominated,CGHS rates (excl. MRI/PET/mammography) + Hospital rates rest,"Sushma Malik, 9873205961"
HOSP0044,Sant Parmanand Hospital,Multispeciality,"18 Sham Nath Marg, Civil Lines, Delhi-54",North/NW Delhi,Nominated,10% discount on Hospital rates (excl. medicines/implants/packages),"Deepak, 9958906815"
HOSP0045,Green Park Dental,Dental Services,"H-4, Green Park Extension, New Delhi-16",South/SW Delhi,Nominated,Hospital Rates,"Anuj Aggarwal, 9910385777"
HOSP0046,Indraprastha Apollo Hospitals,Multispeciality,"Mathura Road, Sarita Vihar, New Delhi-76",South/SW Delhi,Nominated,15% discount IPD/health checks/OPD (excl. room rent/medicines/implants),"Bishnu, 7042632227"
HOSP0047,Max Healthcare Institute Ltd (Panchsheel Park),Multispeciality,"N-110, Panchsheel Park, New Delhi-17",South/SW Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Milind, 9821830361"
HOSP0048,Max Smart Superspeciality Hospital (Saket),Multispeciality,"Mandir Marg, Press Enclave Road, Saket, New Delhi-17",South/SW Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Abhilash, 9911063557"
HOSP0049,"Max Superspeciality Hospital 1 (West Block, Saket)",Multispeciality,"1, Press Enclave Road, Saket, New Delhi-17",South/SW Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Abhilash, 9911063557"
HOSP0050,"Max Superspeciality Hospital 2 (East Block, Saket)",Multispeciality,"2, Press Enclave Road, Saket, New Delhi-17",South/SW Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Abhilash, 9911063557"
HOSP0051,Max Healthcare Institute Ltd (Lajpat Nagar),Multispeciality,"26A Ring Road, Lajpat Nagar 4, New Delhi-29",South/SW Delhi,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Abhilash, 9911063557"
HOSP0052,Multi Speciality Dental Clinic,Dental Services,"113-B, Sheikh Sarai-2K, New Delhi-17",South/SW Delhi,Nominated,Hospital Rates,"Dr Suraj, 9312403324"
HOSP0053,Pushpawati Singhania Research Institute,Multispeciality,"Press Enclave Marg, Sheikh Sarai Phase-II, New Delhi-17",South/SW Delhi,Nominated,20% discount OPD/lab; 10% radiology; 5% health packages,"Ankur Bhatt, 7982444177"
HOSP0054,Mahajan Imaging Centre,MRI/CT/X-Ray/USG/Mammography/Doppler/Dexa,"K-18, Hauz Khas Enclave, New Delhi",South/SW Delhi,Nominated,CGHS rates + Hospital rates for rest,"TS Negi, 9811538915"
HOSP0055,Ravi Eye Foundation,Ophthalmology,"B-8, Ganesh Nagar, Najafgarh Road, New Delhi-18",South/SW Delhi,Nominated,CGHS rates + Hospital rates for non-CGHS,"Dr Ravi S Thadani, 9873006353"
HOSP0056,T32 R K Puram Dental Clinic,Dental,"1-C Vivekanand Market, Sec-1, R K Puram, New Delhi-66",South/SW Delhi,Nominated,CGHS rates + Hospital rates for rest,"Dr Anuj Manocha, 9811048685"
HOSP0057,Universal Centre for Health Sciences,Multispeciality,"Bye Pass Road, Molarband Extn, Badarpur, New Delhi-44",South/SW Delhi,Nominated,CGHS rates + 10% discount on non-CGHS,"Dr Shailesh Jain, 8800800500"
HOSP0058,Advanced Dental Care,Dental Services,"Shop 31, Rati Ram Park, Naya Bazar, Najafgarh, New Delhi-43",South/SW Delhi,Nominated,CGHS rates + Hospital rates on rest,"Dr Sandeep Kumar, 9212167334"
HOSP0059,Batra Hospital & Medical Research Centre,All Specialities,"1, Tughlakabad Institutional Area, MB Road, Delhi-62",South/SW Delhi,Nominated,CGHS rates (excl. Gynae/Neuro/Kidney) + 10% discount rest,"Arwan Choudhary, 9711499507"
HOSP0060,National Heart Institute,Superspeciality (NABH),"49,50 Community Centre, East of Kailash, New Delhi-65",South/SW Delhi,Nominated,NABH CGHS rates for all CGHS listed items,"Tarun Kumar Pandey, 9990598922"
HOSP0061,Primus Super Speciality Hospital,All Medical Services,"2 Chandragupta Marg, Chanakyapuri, New Delhi-21",South/SW Delhi,Nominated,CGHS rates for major specialities and Diagnostics,"Nancy Verma, 7303543837"
HOSP0062,Visitech Eye Centre,Ophthalmology (NABH),"Plot 2, Pocket-1, Jasola Vihar, New Delhi-25",South/SW Delhi,Nominated,CGHS rates + 10% discount non-CGHS,"Dr Anupa Gulati, 9891043328"
HOSP0063,Holy Family Hospital,Multispeciality,"Okhla Road, New Delhi-25",South/SW Delhi,Nominated,Hospital Rates,"Dimple Jain, 9716832326"
HOSP0064,Bansal Hospital,Multispeciality,"A-1, New Friends Colony, New Delhi",South/SW Delhi,Nominated,"CGHS rates for CGHS items, Hospital rates for rest","Rajesh Aggarwal, 9650496661"
HOSP0065,Indident Dental Clinic & Implantology Research Centre,Dental Services,"3E/15, Jhandewalan Extn, New Delhi-55",Central Delhi,Nominated,Hospital Rates,"Dr Bobin Saluja, 9810294477"
HOSP0066,Sir Ganga Ram Hospital,Multispeciality,"Rajinder Nagar, New Delhi-60",Central Delhi,Nominated,10% discount on inpatient bills (excl. medicines/outsourced tests),"Deepak Jain, 9560433511"
HOSP0067,St. Stephen's Hospital,Multispeciality,"Tis Hazari, Delhi-54",Central Delhi,Nominated,Hospital rates,"Thampy Mathews, 011-23966021"
HOSP0068,Mahajan Imaging Dept of PET & Nuclear Medicine,Diagnostic & Radiology,"Sir Ganga Ram Hospital, Rajinder Nagar, New Delhi-60",Central Delhi,Nominated,CGHS rates + Hospital rates for non-CGHS,"TS Negi, 9811538915"
HOSP0069,Delhi Dental & Medical Centre,Dental,"19/32, Old Rajinder Nagar, New Delhi-60",Central Delhi,Nominated,CGHS rates + Hospital rates for rest,"Dr Sumit Bajaj, 9810294530"
HOSP0070,Delhi Heart & Lung Institute,Cardiology/Oncology/Pulmonology/CTVS,"3 MM-II, Panchkuian Road, New Delhi-55",Central Delhi,Nominated,CGHS rates + 10% discount non-CGHS,"Shafiq Khan, 9873364636"
HOSP0071,Dr Ashok Dentistree Dental Clinic,Dental,"23 Panchkuian Road, Near RK Ashram Metro, New Delhi-1",Central Delhi,Nominated,CGHS rates + Hospital rates for rest,"Dr Ashok Yadav, 9990005856"
HOSP0072,Jeewan Mala Hospital,Multispeciality,"67/1, New Rohtak Road, New Delhi-5",Central Delhi,Nominated,CGHS rates for major specialities + Hospital rates rest,"Sanjeev Kumar, 9212150578"
HOSP0073,Kailash Eye Care,Ophthalmology,"50-51 South Patel Nagar, New Delhi-8",Central Delhi,Nominated,CGHS rates + 10% discount on surgeries,"Dr Naginder Vashisth, 9810760157"
HOSP0074,The Caring Touch,Dental,"R-721 New Rajinder Nagar, New Delhi-60",Central Delhi,Nominated,CGHS rates + Hospital rates for non-CGHS,"Dr Payal Manchanda, 9811831359"
HOSP0075,General Williams Masonic Clinic,Diagnostics/Dental/Eye,"Freemasons Hall, Janpath, New Delhi-1",Central Delhi,Nominated,Hospital Rates,"Subhash Chawla, 9718541841"
HOSP0076,Sapphire Dental Care,Dental,"Shyam Palace, Prakashpuri Chowk, Railway Road, Gurugram",NCR,Nominated,CGHS rates + 25% discount non-CGHS,"Dr Awadh Kishore, 9899409877"
HOSP0077,Asian Institute of Medical Sciences,Multispeciality,"Badkal Flyover Road, Sec-21A, Faridabad, Haryana",NCR,Nominated,CGHS rates + 15% OPD / 10% IPD discount,"Vipin, 9650099181"
HOSP0078,Fortis Hospital Noida,Multispeciality,"B-22, Sec-62, Noida, UP",NCR,Nominated,CGHS rates (excl. dental & non-CGHS),"Kuldeep Singh Hada, 9555378283"
HOSP0079,Prayag Hospital & Research Centre Pvt Ltd,Multispeciality,"J-206/A-1, Sec-41, Noida, UP",NCR,Nominated,CGHS rates + 15% discount for non-CGHS,"S.K. Shukla, 9350253418"
HOSP0080,Neo Hospital,Multispeciality,"D-170A, Sec-50, Noida-201301",NCR,Nominated,CGHS rates + Hospital rates for non-CGHS,"Ashok Kumar Verma, 9599388058"
HOSP0081,Max Vaishali (Crosslay Remedies Ltd),Multispeciality,"W-3, Sec-1, Vaishali, Ghaziabad-201012",NCR,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Sudhanshu, 8527203300"
HOSP0082,Yashoda Hospital,Multispeciality,"H-1,26,27, Kaushambi, Near Dabur Chowk, Ghaziabad",NCR,Nominated,10% discount OPD/IPD (excl. medicines/implants/outsourced),"Gaurav Pandey, 9811778998"
HOSP0083,Shine & Smile Dental Clinic,Dental,"B-11 B Block Market, Surya Nagar, Ghaziabad-201011",NCR,Nominated,CGHS rates + 15% discount non-listed items,"Dr Priya Baijal, 9999494474"
HOSP0084,Narinder Mohan Hospital & Heart Centre,Multispeciality,"Mohan Nagar, Ghaziabad",NCR,Nominated,CGHS rates + 10% discount IPD non-CGHS,"Dev, 7011285811"
HOSP0085,Max Hospital Gurgaon,Multispeciality,"Block-B, Sushant Lok Phase-1, Gurgaon",NCR,Nominated,20% discount OPD/IPD; 5% on packages/dialysis/procedures,"Jatin, 9599767288"
HOSP0086,Medanta The Medicity,Superspecialities (excl. Obstetrics/Burns),"Sec-38, Gurugram, Haryana-122001",NCR,Nominated,15% discount OPD/IPD (excl. drugs/consumables/implants/scans),"Ajay Sharma, 9560398909"
HOSP0087,Metro Hospitals & Heart Institute,Multispeciality,"X-1 Sec-12 & L-94 Sec-11, Noida, UP-201301",NCR,Nominated,CGHS rates for major specialities + 10% discount non-CGHS,"C.M. Bhatnagar, 9910272574"
HOSP0088,SSB Heart & Multispeciality Hospital,Multispeciality,"Sec-20A, Near Neelam Flyover, Ajronda Chowk, Faridabad",NCR,Nominated,CGHS rates + Hospital rates for non-listed items,"Yogesh, 9810628963"
HOSP0089,J J Institute of Medical Sciences Ltd,Multispeciality,"Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana-124507",NCR,Nominated,CGHS rates + 10% discount non-CGHS (excl. medicines/outsourced),"Deepak Kumar, 7056682015"
