centre_id,address
LALC001,"Flat 101,102 Ground Floor, E-540, Greater Kailash-2, New Delhi-48"
LALC002,"8, West Avenue Road, Punjabi Bagh(W), New Delhi-26"
LALC003,"C-49, Main Vikas Marg, Preet Vihar, New Delhi-92"
LALC004,"B2/9, Anmol House, Near Syndicate Bank, Ashok Vihar Phase-2, New Delhi-52"
LALC005,"C-655, Near Gurudwara, New Friends Colony"
LALC006,"Ground Floor G.10 No.1, Kaushalya Park, South West Delhi, New Delhi-16"
LALC007,"Nelson Mandela Marg, Building 1, LSC Sec-B, Pocket-7, Vasant Kunj, New Delhi-70"
LALC008,"Block E, Sector 18, Rohini, New Delhi-85"
LALC009,"4B/13, Near Metro Pillar 494, Tilak Nagar, New Delhi-18"
LALC010,"A-15 Ground Floor, Near Kailash Colony Metro Station, New Delhi-48"
LALC011,"Shop G-3,4,5, Sikka Plaza-II, Mayur Vihar Phase-I, New Delhi-92"
LALC012,"4/1-3, CL House Upper Ground Floor, Near AIIMS Gate 3, Aurobindo Marg, New Delhi-16"
LALC013,"Shop A-1/7, Ground Floor, Loksatta Building, Kabir Nagar, Durgapuri, Delhi-94"
LALC014,"Plot 60, Sec-12B, Beside Bal Bharti School, Dwarka, New Delhi-75"
LALC015,"Shop-3, Essex Farm, IIT Gate, Delhi-16"
LALC016,"Shop 6, Vardhman Sudershan Plaza, Sec-5, Dwarka, New Delhi-73"
LALC017,"J-5, Green Park Main, New Delhi-16"
LALC018,"B-29, Community Centre, Opp PNB, Janakpuri, New Delhi-58"
LALC019,"F-1/9, Near Happy English School, Krishna Nagar, New Delhi-51"
LALC020,"Shop 3, C-1/103-104, Lajpat Nagar-1, Opp Nirula's, New Delhi-24"
LALC021,"A-37,38,39 Ground Floor GF-2, Commercial Complex, Dr Mukherjee Nagar, New Delhi-9"
LALC022,"Shop G3 & G4, Aggarwal Tower, LSC-2, IP Extension, Patparganj, New Delhi-92"
LALC023,"124, Pocket C-9, Opp Fire Station, Sec-8, Rohini, New Delhi-85"
LALC024,"24/26 Ground Floor, Adj Govt Girls School 1, Shakti Nagar, New Delhi-7"
LALC025,"Shop A1/BQ Market, Shalimar Bagh, Delhi-88"
LALC026,"D-6, Main Road, Hauz Khas, Old Cafe-6, New Delhi-16"
LALC027,"15/1 Ground Floor, West Patel Nagar, New Delhi-8"
LALC028,"K-106, Ground Floor (Opp Bank of Baroda), Kalka Ji, New Delhi-19"
LALC029,"Shop 15, Ground Floor, Jangpura Ext, Near Eros Cinema, New Delhi-14"
LALC030,"Shop 70, Ground Floor, Opp Sagar Ratna, Hudson Line, Mall Road, New Delhi-9"
LALC031,"J-13/44B, Rajouri Garden, Delhi-27"
LALC032,"Flat 41A, Block C-4A, Janakpuri, New Delhi-58"
LALC033,"B-1/10, Paschim Vihar, New Delhi-63"
LALC034,"Property 5&6, GF, Rear Block 127, Block C, Regal Building (East), New Delhi-1"
LALC035,"Shop 103, Jaipuria Plaza, Sec-26, Noida-201301, UP"
LALC036,"C-30, RDC, Near Krishna Sagar, Rajnagar, Ghaziabad-201002, UP"
LALC037,"B-1/1, Central Market, Sec-50, Noida-201301, UP"
LALC038,"N-27, Sec-18, Noida-201301, UP"
LALC039,"Ground Floor, Shop BG03, Aditya Shopping Complex, Vaibhav Khand, Indirapuram, Ghaziabad, UP"
LALC040,"Shop G-18,G-19,G-20 & G-21, MSX Tower-II, Alpha-1, Greater Noida, UP"
LALC041,"Ground Floor, Plot 20, Sec-15C, Near SBI, Vasundhara, Ghaziabad-201012, UP"
LALC042,"Ground Floor-5B, Pusa Road IAS (Baba Banner Building), Karol Bagh, New Delhi-5"
LALC043,"C-1/B, Clear View, Old DLF Colony, Sec-14, Gurgaon-122001, Haryana"
LALC044,"SCO-30, Sec-16, Faridabad-121002, Haryana"
LALC045,"Shop 9,10,30,31, DLF City Court, Sikanderpur, Gurgaon-122001, Haryana"
LALC046,"SF 103, First Floor, Galleria Market, DLF Phase-IV, Gurgaon-122001, Haryana"
LALC047,"Shop 54,55, The Sapphire, Sec-49, Opp Orchid Petals, Sohna Road, Gurgaon-122018, Haryana"
LALC048,"SCF-155, Ground Floor, Huda Market, Sec-9, Faridabad-121006, Haryana"
